Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,267676,-,-,-,36.85,-2.46,1,22,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,12.3,1.26,0.0702,0.67,0,0,0,0,7.1000000000000005,0,0,0,0,0.28700000000000003,70.35000000000001,163.4,0.22,1039,1.6,75,0.8
2019,1,1,1,30,13.600000000000001,1.09,0.0316,0.63,0,0,0,0,1.3,0,0,0,0,0.294,43.160000000000004,165.71,0.21,1038,0.9,347,1.1
2019,1,1,2,30,13.600000000000001,1.12,0.030500000000000003,0.63,0,0,0,0,0.9,0,0,0,0,0.294,41.88,158.43,0.21,1038,0.9,348,1.2000000000000002
2019,1,1,3,30,13.600000000000001,1.1500000000000001,0.029400000000000003,0.63,0,0,0,0,0.4,0,0,0,0,0.294,40.34,147.51,0.21,1038,0.9,346,1.2000000000000002
2019,1,1,4,30,13.5,1.18,0.0284,0.63,0,0,0,0,-0.1,0,0,0,0,0.295,39.27,135.69,0.21,1038,0.8,338,1.1
2019,1,1,5,30,13.600000000000001,1.2,0.0275,0.63,0,0,0,0,-0.5,0,0,0,0,0.294,37.76,123.71000000000001,0.21,1037,0.8,329,1
2019,1,1,6,30,13.700000000000001,1.23,0.0269,0.63,0,0,0,0,-0.8,0,0,0,0,0.293,36.85,111.86,0.21,1038,0.8,317,0.9
2019,1,1,7,30,13.8,1.25,0.026600000000000002,0.63,0,0,0,0,-0.9,0,0,0,0,0.292,36.34,100.4,0.21,1038,0.8,300,0.8
2019,1,1,8,30,14.5,1.27,0.026600000000000002,0.63,0,0,0,0,-0.7000000000000001,0,0,0,0,0.29,35.29,89.13,0.21,1038,0.8,276,0.8
2019,1,1,9,30,16.3,1.28,0.027,0.63,40,651,158,0,1.8,40,651,0,158,0.28800000000000003,37.56,79.57000000000001,0.21,1039,0.8,252,0.9
2019,1,1,10,30,18.2,1.29,0.0275,0.63,55,816,319,2,2.8000000000000003,114,2,0,115,0.28600000000000003,35.71,71.10000000000001,0.21,1039,0.8,233,1.4000000000000001
2019,1,1,11,30,19.700000000000003,1.31,0.0281,0.63,63,885,443,2,1.8,183,205,0,271,0.28400000000000003,30.29,64.58,0.21,1039,0.9,220,1.9000000000000001
2019,1,1,12,30,20.900000000000002,1.32,0.0284,0.63,67,919,516,1,1.7000000000000002,67,919,0,516,0.28200000000000003,28.02,60.69,0.21,1038,0.9,217,2.2
2019,1,1,13,30,21.5,1.16,0.033800000000000004,0.63,71,916,530,2,1.8,216,255,0,344,0.279,27.12,59.95,0.21,1037,0.9,219,2.3000000000000003
2019,1,1,14,30,21.6,1.16,0.0339,0.63,68,896,482,2,2,193,272,0,318,0.277,27.37,62.49,0.21,1037,0.9,221,2.3000000000000003
2019,1,1,15,30,21.1,1.17,0.0342,0.63,62,840,378,2,2.4000000000000004,154,217,0,236,0.275,29.01,67.92,0.21,1037,0.9,219,2.1
2019,1,1,16,30,19.3,1.02,0.0415,0.63,53,706,228,0,5.5,53,706,0,228,0.274,40.43,75.61,0.21,1037,0.9,219,1.9000000000000001
2019,1,1,17,30,17.1,1.01,0.043300000000000005,0.63,28,406,64,0,6.4,28,406,0,64,0.274,49.300000000000004,84.85000000000001,0.21,1037,0.9,230,1.8
2019,1,1,18,30,15.8,1,0.0453,0.63,0,0,0,0,6,0,0,0,0,0.274,52.08,95.48,0.21,1037,0.9,250,1.6
2019,1,1,19,30,15,1,0.0468,0.63,0,0,0,0,6.300000000000001,0,0,0,0,0.274,55.96,106.7,0.21,1038,0.9,267,1.5
2019,1,1,20,30,14.5,1,0.0476,0.63,0,0,0,0,6.2,0,0,0,0,0.274,57.5,118.41,0.21,1038,0.9,279,1.5
2019,1,1,21,30,14,1,0.0478,0.63,0,0,0,0,6,0,0,0,0,0.275,58.36,130.36,0.21,1038,0.9,287,1.5
2019,1,1,22,30,13.5,1,0.0478,0.63,0,0,0,0,5.7,0,0,0,0,0.275,59.050000000000004,142.3,0.21,1038,0.9,292,1.6
2019,1,1,23,30,13.100000000000001,1.01,0.0477,0.63,0,0,0,0,5.300000000000001,0,0,0,0,0.275,59.21,153.76,0.21,1037,0.9,296,1.6
2019,1,2,0,30,12.9,1.01,0.0473,0.63,0,0,0,0,5,0,0,0,0,0.274,58.56,163.24,0.21,1037,0.9,298,1.6
2019,1,2,1,30,12.5,1.01,0.046700000000000005,0.63,0,0,0,0,4.6000000000000005,0,0,0,0,0.274,58.5,165.66,0.21,1037,0.9,306,1.6
2019,1,2,2,30,12.3,1.02,0.046200000000000005,0.63,0,0,0,0,4.2,0,0,0,0,0.274,57.620000000000005,158.45000000000002,0.21,1037,0.9,309,1.6
2019,1,2,3,30,12.200000000000001,1.03,0.0455,0.63,0,0,0,0,3.8000000000000003,0,0,0,0,0.274,56.53,147.56,0.21,1036,0.8,308,1.6
2019,1,2,4,30,12.200000000000001,1.04,0.044500000000000005,0.63,0,0,0,0,3.5,0,0,0,0,0.274,55.27,135.75,0.21,1036,0.8,305,1.6
2019,1,2,5,30,12.3,1.06,0.0434,0.63,0,0,0,0,3.2,0,0,0,0,0.274,53.910000000000004,123.76,0.21,1035,0.8,303,1.4000000000000001
2019,1,2,6,30,12.3,1.07,0.0426,0.63,0,0,0,0,3.1,0,0,0,0,0.275,53.370000000000005,111.91,0.21,1035,0.8,301,1.3
2019,1,2,7,30,12.600000000000001,1.08,0.0422,0.63,0,0,0,0,3,0,0,0,0,0.275,52.01,100.44,0.21,1035,0.8,300,1.1
2019,1,2,8,30,13.8,1.1,0.0422,0.63,0,0,0,1,3.2,0,0,0,0,0.276,48.78,89.15,0.21,1035,0.8,296,0.8
2019,1,2,9,30,16.3,1.11,0.0427,0.63,44,614,155,0,5.2,44,614,0,155,0.277,47.870000000000005,79.58,0.21,1035,0.8,288,0.7000000000000001
2019,1,2,10,30,18.7,1.1500000000000001,0.0391,0.63,59,796,317,2,5.4,108,0,0,108,0.279,41.72,71.09,0.21,1035,0.8,278,1
2019,1,2,11,30,20.3,1.16,0.0408,0.63,69,872,444,2,4.7,184,191,0,267,0.28,35.88,64.54,0.21,1034,0.8,280,1.1
2019,1,2,12,30,21.400000000000002,1.17,0.041600000000000005,0.63,74,906,519,2,4.5,195,351,0,367,0.281,33.18,60.620000000000005,0.21,1033,0.8,291,1.1
2019,1,2,13,30,21.900000000000002,1.06,0.0487,0.63,78,902,531,2,4.800000000000001,216,267,0,350,0.28200000000000003,32.86,59.86,0.21,1032,0.8,303,0.9
2019,1,2,14,30,21.900000000000002,1.07,0.0495,0.63,75,875,481,2,4.5,195,268,0,319,0.28300000000000003,32.01,62.370000000000005,0.21,1032,0.9,322,0.6000000000000001
2019,1,2,15,30,21.3,1.08,0.050300000000000004,0.63,68,816,377,2,4.6000000000000005,157,192,0,230,0.28300000000000003,33.49,67.79,0.21,1032,0.9,229,0.4
2019,1,2,16,30,19.400000000000002,1.1,0.0516,0.63,55,691,229,1,6.9,55,691,0,229,0.28200000000000003,44.31,75.47,0.21,1032,0.9,101,0.4
2019,1,2,17,30,17.2,1.11,0.0534,0.63,29,392,65,1,8.4,29,392,0,65,0.28200000000000003,56.34,84.72,0.21,1032,0.9,52,0.6000000000000001
2019,1,2,18,30,15.600000000000001,1.1300000000000001,0.055600000000000004,0.63,0,0,0,0,7.2,0,0,0,0,0.28200000000000003,57.480000000000004,95.34,0.21,1032,0.9,16,1
2019,1,2,19,30,14.4,1.1400000000000001,0.058,0.63,0,0,0,0,7.4,0,0,0,0,0.281,62.730000000000004,106.57000000000001,0.21,1033,0.9,8,1.5
2019,1,2,20,30,13.4,1.17,0.059300000000000005,0.63,0,0,0,0,7.1000000000000005,0,0,1,0,0.281,65.62,118.27,0.21,1033,0.9,11,1.9000000000000001
2019,1,2,21,30,12.8,1.19,0.059800000000000006,0.63,0,0,0,0,6.6000000000000005,0,0,0,0,0.281,65.94,130.22,0.21,1033,0.9,18,2.3000000000000003
2019,1,2,22,30,12.4,1.21,0.060200000000000004,0.63,0,0,0,0,6,0,0,1,0,0.281,65.17,142.16,0.21,1033,0.9,22,2.6
2019,1,2,23,30,12.200000000000001,1.22,0.0611,0.63,0,0,0,0,5.4,0,0,0,0,0.28,63.230000000000004,153.62,0.21,1033,0.9,24,2.8000000000000003
2019,1,3,0,30,12.100000000000001,1.23,0.0616,0.63,0,0,0,0,4.800000000000001,0,0,0,0,0.279,60.92,163.11,0.21,1033,0.9,26,2.8000000000000003
2019,1,3,1,30,11.600000000000001,1.25,0.061200000000000004,0.63,0,0,0,0,4.4,0,0,0,0,0.279,61.32,165.6,0.21,1033,0.9,35,3.1
2019,1,3,2,30,10.9,1.27,0.0585,0.63,0,0,0,0,4,0,0,0,0,0.278,62.35,158.46,0.21,1033,0.9,37,3.2
2019,1,3,3,30,10.100000000000001,1.29,0.0565,0.63,0,0,0,0,3.6,0,0,0,0,0.278,64.22,147.6,0.21,1033,0.9,38,3.3000000000000003
2019,1,3,4,30,9.5,1.29,0.056100000000000004,0.63,0,0,0,0,3.9000000000000004,0,0,0,0,0.278,68.08,135.79,0.21,1033,0.9,36,3.4000000000000004
2019,1,3,5,30,9.1,1.25,0.057,0.63,0,0,0,0,4.7,0,0,0,0,0.278,74.04,123.8,0.21,1033,0.9,34,3.5
2019,1,3,6,30,8.9,1.17,0.0608,0.63,0,0,0,0,5.7,0,0,0,0,0.279,80.37,111.95,0.21,1034,1,33,3.5
2019,1,3,7,30,9.4,1.1,0.0702,0.63,0,0,0,0,6.5,0,0,0,0,0.279,82.2,100.47,0.21,1034,1,33,3.7
2019,1,3,8,30,10.8,1.07,0.0806,0.63,0,0,0,1,7,0,0,0,0,0.279,77.58,89.16,0.21,1035,1,34,4.5
2019,1,3,9,30,12.4,1.07,0.0881,0.63,54,511,146,0,7.6000000000000005,54,511,0,146,0.278,72.4,79.58,0.21,1036,1.1,38,5.2
2019,1,3,10,30,13.4,1.08,0.109,0.63,83,669,300,2,8.1,104,0,0,104,0.278,70.14,71.07000000000001,0.21,1036,1.2000000000000002,47,5.300000000000001
2019,1,3,11,30,14.4,1.08,0.1317,0.63,104,735,420,2,8.5,187,140,0,247,0.277,67.51,64.5,0.21,1036,1.2000000000000002,57,5.2
2019,1,3,12,30,15.200000000000001,1.06,0.1471,0.63,118,758,491,2,8.700000000000001,216,217,0,323,0.276,65.22,60.550000000000004,0.21,1036,1.3,67,5
2019,1,3,13,30,15.5,1.03,0.1426,0.63,118,766,504,2,8.9,226,158,0,306,0.275,64.69,59.76,0.21,1035,1.4000000000000001,75,4.9
2019,1,3,14,30,15.4,1.04,0.15430000000000002,0.63,117,728,456,3,8.8,203,99,0,250,0.275,64.82000000000001,62.25,0.21,1035,1.4000000000000001,79,4.7
2019,1,3,15,30,15.100000000000001,1.01,0.1497,0.63,104,665,357,2,8.6,155,230,0,243,0.275,65.07000000000001,67.66,0.21,1035,1.3,80,4.3
2019,1,3,16,30,14.4,0.97,0.1522,0.63,83,517,213,0,8.3,83,517,0,213,0.276,66.84,75.33,0.21,1035,1.3,77,3.6
2019,1,3,17,30,13.3,0.92,0.14700000000000002,0.63,39,218,60,1,8.3,39,218,0,60,0.278,71.61,84.58,0.21,1036,1.2000000000000002,74,2.7
2019,1,3,18,30,12.600000000000001,0.85,0.1336,0.63,0,0,0,0,8,0,0,0,0,0.279,73.69,95.2,0.21,1036,1.1,71,2.4000000000000004
2019,1,3,19,30,12.200000000000001,0.81,0.1274,0.63,0,0,0,1,7.7,0,0,0,0,0.281,74.05,106.42,0.21,1036,1,71,2.3000000000000003
2019,1,3,20,30,11.9,0.79,0.1183,0.63,0,0,0,0,7.4,0,0,0,0,0.28200000000000003,73.89,118.13,0.21,1036,1,70,2.3000000000000003
2019,1,3,21,30,11.700000000000001,0.78,0.1107,0.63,0,0,0,0,7.1000000000000005,0,0,0,0,0.28300000000000003,73.45,130.08,0.21,1036,1,69,2.2
2019,1,3,22,30,11.600000000000001,0.78,0.10930000000000001,0.63,0,0,0,1,6.9,0,0,0,0,0.28300000000000003,72.97,142.02,0.21,1036,1,67,2.1
2019,1,3,23,30,11.5,0.78,0.11170000000000001,0.63,0,0,0,3,6.800000000000001,0,0,0,0,0.28400000000000003,72.91,153.47,0.21,1036,1,65,2
2019,1,4,0,30,11.4,0.77,0.1102,0.63,0,0,0,0,6.7,0,0,0,0,0.28400000000000003,73.01,162.97,0.21,1036,1,63,1.9000000000000001
2019,1,4,1,30,11.100000000000001,0.77,0.1109,0.63,0,0,0,0,6.5,0,0,0,0,0.28700000000000003,73.43,165.52,0.21,1036,1,58,1.8
2019,1,4,2,30,10.8,0.8,0.109,0.63,0,0,0,0,6.300000000000001,0,0,0,0,0.29,73.87,158.47,0.21,1036,1,52,1.8
2019,1,4,3,30,10.5,0.8300000000000001,0.1066,0.63,0,0,0,0,6.1000000000000005,0,0,0,0,0.292,74.44,147.63,0.21,1036,1,46,1.7000000000000002
2019,1,4,4,30,10.100000000000001,0.88,0.1066,0.63,0,0,0,0,6,0,0,0,0,0.293,75.52,135.84,0.21,1036,1,39,1.6
2019,1,4,5,30,9.600000000000001,0.9400000000000001,0.10310000000000001,0.63,0,0,0,0,5.800000000000001,0,0,0,0,0.294,77.09,123.85000000000001,0.21,1035,0.9,34,1.6
2019,1,4,6,30,9.4,0.98,0.0984,0.63,0,0,0,0,5.6000000000000005,0,0,0,0,0.295,77.09,111.99000000000001,0.21,1035,0.9,35,1.7000000000000002
2019,1,4,7,30,9.4,1.01,0.0971,0.63,0,0,0,0,5.4,0,0,0,0,0.296,76,100.5,0.21,1036,1,36,1.7000000000000002
2019,1,4,8,30,10.5,1.04,0.0951,0.63,0,0,0,0,5.2,0,0,0,0,0.297,69.48,89.18,0.21,1036,0.9,35,1.6
2019,1,4,9,30,12.5,1.05,0.09050000000000001,0.63,55,513,147,0,5.300000000000001,55,513,0,147,0.298,61.54,79.58,0.21,1037,0.9,44,1.5
2019,1,4,10,30,14.3,1.07,0.0847,0.63,75,715,308,2,4.9,95,0,3,95,0.3,53.1,71.05,0.21,1037,0.9,76,1.5
2019,1,4,11,30,15.5,1.09,0.0784,0.63,85,813,436,2,4.5,183,220,0,277,0.301,47.81,64.45,0.21,1037,0.9,107,1.5
2019,1,4,12,30,16.400000000000002,1.12,0.0718,0.63,88,867,515,2,4.2,191,377,0,377,0.301,44.21,60.47,0.21,1036,0.8,119,1.7000000000000002
2019,1,4,13,30,17.1,1.08,0.06330000000000001,0.63,86,884,532,2,3.8000000000000003,211,305,0,365,0.302,41.14,59.65,0.21,1036,0.8,123,1.9000000000000001
2019,1,4,14,30,17.400000000000002,1.1,0.058,0.63,80,869,486,2,3,184,343,0,345,0.303,38.17,62.120000000000005,0.21,1036,0.8,123,2.2
2019,1,4,15,30,17,1.12,0.0543,0.63,71,817,383,2,2.7,153,259,0,252,0.304,38.37,67.52,0.21,1036,0.8,126,2.3000000000000003
2019,1,4,16,30,15.4,1.1400000000000001,0.0517,0.63,57,707,237,0,3.1,57,707,0,237,0.305,43.730000000000004,75.19,0.21,1036,0.7000000000000001,131,2
2019,1,4,17,30,13.3,1.1500000000000001,0.0494,0.63,30,426,72,1,5.4,30,426,0,72,0.306,58.94,84.43,0.21,1037,0.7000000000000001,140,1.4000000000000001
2019,1,4,18,30,12.4,1.16,0.0468,0.63,0,0,0,1,5,0,0,0,0,0.306,60.82,95.05,0.21,1037,0.7000000000000001,149,0.9
2019,1,4,19,30,12.100000000000001,1.17,0.0438,0.63,0,0,0,0,5.1000000000000005,0,0,0,0,0.305,62.31,106.28,0.21,1038,0.7000000000000001,80,0.5
2019,1,4,20,30,11.9,1.19,0.040400000000000005,0.63,0,0,0,0,4.9,0,0,0,0,0.305,62.08,117.98,0.21,1038,0.6000000000000001,183,0.6000000000000001
2019,1,4,21,30,11.9,1.21,0.0371,0.63,0,0,0,0,4.2,0,0,0,0,0.306,59.42,129.93,0.21,1038,0.6000000000000001,184,1
2019,1,4,22,30,11.700000000000001,1.24,0.034800000000000005,0.63,0,0,0,0,3.5,0,0,0,0,0.306,57.27,141.87,0.21,1038,0.6000000000000001,17,1.2000000000000002
2019,1,4,23,30,11.600000000000001,1.26,0.0339,0.63,0,0,0,0,3,0,0,1,0,0.305,55.56,153.33,0.21,1038,0.6000000000000001,29,1.3
2019,1,5,0,30,11.600000000000001,1.27,0.0335,0.63,0,0,0,0,2.7,0,0,0,0,0.304,54.26,162.82,0.21,1038,0.6000000000000001,34,1.4000000000000001
2019,1,5,1,30,11.5,1.27,0.0334,0.63,0,0,0,0,2.4000000000000004,0,0,0,0,0.303,53.6,165.44,0.21,1038,0.6000000000000001,28,1.2000000000000002
2019,1,5,2,30,11.100000000000001,1.28,0.0333,0.63,0,0,0,0,2.2,0,0,0,0,0.303,54.230000000000004,158.47,0.21,1038,0.6000000000000001,22,1.2000000000000002
2019,1,5,3,30,10.8,1.28,0.0334,0.63,0,0,0,0,2,0,0,0,0,0.302,54.65,147.66,0.21,1038,0.6000000000000001,17,1.3
2019,1,5,4,30,10.600000000000001,1.28,0.0342,0.63,0,0,0,0,1.8,0,0,0,0,0.302,54.34,135.87,0.21,1038,0.6000000000000001,13,1.4000000000000001
2019,1,5,5,30,10.4,1.29,0.0349,0.63,0,0,0,0,1.4000000000000001,0,0,0,0,0.301,53.81,123.88000000000001,0.21,1038,0.6000000000000001,10,1.4000000000000001
2019,1,5,6,30,10.3,1.3,0.034800000000000005,0.63,0,0,0,0,1.1,0,0,0,0,0.3,53.01,112.02,0.21,1038,0.7000000000000001,7,1.4000000000000001
2019,1,5,7,30,10.3,1.32,0.0346,0.63,0,0,0,0,0.8,0,0,0,0,0.3,51.79,100.52,0.21,1038,0.7000000000000001,182,1.2000000000000002
2019,1,5,8,30,11.3,1.33,0.0341,0.63,0,0,0,0,0.6000000000000001,0,0,0,0,0.3,47.57,89.19,0.21,1039,0.7000000000000001,181,1
2019,1,5,9,30,13.4,1.35,0.033600000000000005,0.63,41,643,158,0,2.4000000000000004,41,643,0,158,0.3,47.31,79.57000000000001,0.21,1039,0.7000000000000001,167,0.8
2019,1,5,10,30,15.5,1.37,0.033600000000000005,0.63,57,812,321,2,0.5,107,0,0,107,0.3,36.14,71.02,0.21,1040,0.7000000000000001,306,0.6000000000000001
2019,1,5,11,30,17.2,1.3800000000000001,0.0339,0.63,65,884,447,2,0.1,185,197,0,270,0.299,31.52,64.39,0.21,1039,0.8,243,0.5
2019,1,5,12,30,18.6,1.3900000000000001,0.0344,0.63,70,918,524,2,-0.5,194,364,0,374,0.297,27.64,60.38,0.21,1039,0.8,194,0.7000000000000001
2019,1,5,13,30,19.200000000000003,1.29,0.038400000000000004,0.63,73,919,539,2,-0.6000000000000001,217,275,0,356,0.295,26.32,59.53,0.21,1038,0.8,186,1.1
2019,1,5,14,30,19.400000000000002,1.29,0.039,0.63,71,898,493,1,-0.4,71,898,0,493,0.292,26.41,61.99,0.21,1038,0.8,191,1.5
2019,1,5,15,30,18.8,1.3,0.0392,0.63,64,845,389,1,0.2,64,845,1,389,0.29,28.54,67.37,0.21,1038,0.8,197,1.7000000000000002
2019,1,5,16,30,17.1,1.1500000000000001,0.0454,0.63,54,717,239,0,2.6,54,717,0,239,0.28800000000000003,37.94,75.04,0.21,1037,0.8,208,1.8
2019,1,5,17,30,15,1.1300000000000001,0.0459,0.63,30,436,74,0,4.7,30,436,0,74,0.28600000000000003,50.22,84.28,0.21,1038,0.8,228,1.7000000000000002
2019,1,5,18,30,13.8,1.12,0.0461,0.63,0,0,0,0,4,0,0,0,0,0.28400000000000003,51.550000000000004,94.9,0.21,1038,0.8,251,1.7000000000000002
2019,1,5,19,30,13.200000000000001,1.11,0.0456,0.63,0,0,0,0,3.8000000000000003,0,0,0,0,0.28300000000000003,53.01,106.13,0.21,1038,0.8,270,1.7000000000000002
2019,1,5,20,30,12.700000000000001,1.1,0.0444,0.63,0,0,0,0,3.3000000000000003,0,0,0,0,0.281,52.800000000000004,117.84,0.21,1038,0.8,284,1.6
2019,1,5,21,30,12.200000000000001,1.1,0.0429,0.63,0,0,0,0,2.7,0,0,0,0,0.28,52.33,129.79,0.21,1038,0.8,294,1.6
2019,1,5,22,30,11.9,1.1,0.041600000000000005,0.63,0,0,0,0,2.2,0,0,0,0,0.279,51.300000000000004,141.73,0.21,1038,0.7000000000000001,300,1.6
2019,1,5,23,30,11.600000000000001,1.11,0.040600000000000004,0.63,0,0,0,0,1.7000000000000002,0,0,0,0,0.279,50.78,153.18,0.21,1038,0.7000000000000001,302,1.7000000000000002
2019,1,6,0,30,11.4,1.12,0.0396,0.63,0,0,0,0,1.5,0,0,0,0,0.279,50.57,162.67000000000002,0.21,1037,0.7000000000000001,303,1.8
2019,1,6,1,30,11.200000000000001,1.1300000000000001,0.038700000000000005,0.63,0,0,0,0,1.4000000000000001,0,0,0,0,0.28,50.76,165.35,0.21,1037,0.8,307,1.9000000000000001
2019,1,6,2,30,11.200000000000001,1.1500000000000001,0.037700000000000004,0.63,0,0,0,0,1.3,0,0,0,0,0.281,50.47,158.46,0.21,1037,0.8,308,1.9000000000000001
2019,1,6,3,30,11.200000000000001,1.16,0.0368,0.63,0,0,0,0,1.2000000000000002,0,0,0,0,0.28200000000000003,50.19,147.69,0.21,1037,0.8,307,1.9000000000000001
2019,1,6,4,30,11.200000000000001,1.17,0.0358,0.63,0,0,0,0,1.1,0,0,0,0,0.28200000000000003,49.82,135.9,0.21,1036,0.8,306,1.9000000000000001
2019,1,6,5,30,11.200000000000001,1.18,0.035,0.63,0,0,0,0,1,0,0,0,0,0.28300000000000003,49.45,123.92,0.21,1036,0.8,304,1.9000000000000001
2019,1,6,6,30,11.3,1.18,0.0344,0.63,0,0,0,0,0.9,0,0,0,0,0.28300000000000003,48.71,112.05,0.21,1036,0.8,301,1.9000000000000001
2019,1,6,7,30,11.5,1.18,0.034,0.63,0,0,0,0,0.8,0,0,0,0,0.28400000000000003,47.92,100.54,0.21,1036,0.8,297,1.8
2019,1,6,8,30,12.700000000000001,1.18,0.033800000000000004,0.63,0,0,0,1,1,0,0,0,0,0.28400000000000003,44.83,89.19,0.21,1036,0.8,292,1.7000000000000002
2019,1,6,9,30,15.3,1.18,0.033800000000000004,0.63,42,635,157,0,3,42,635,0,157,0.28500000000000003,43.62,79.56,0.21,1036,0.8,289,1.7000000000000002
2019,1,6,10,30,17.8,1.19,0.0339,0.63,57,806,320,2,2.2,111,0,0,111,0.28500000000000003,35.15,70.98,0.21,1036,0.8,286,1.8
2019,1,6,11,30,19.5,1.19,0.0341,0.63,66,884,449,2,1.2000000000000002,185,202,0,273,0.28400000000000003,29.39,64.32000000000001,0.21,1036,0.8,285,1.6
2019,1,6,12,30,20.700000000000003,1.21,0.0341,0.63,70,919,526,2,0.9,192,379,0,380,0.28400000000000003,26.75,60.28,0.21,1035,0.8,295,1.4000000000000001
2019,1,6,13,30,21.200000000000003,1.09,0.0383,0.63,74,925,545,2,2.1,214,302,0,367,0.28300000000000003,28.2,59.410000000000004,0.21,1034,0.7000000000000001,304,1.1
2019,1,6,14,30,21.200000000000003,1.09,0.0391,0.63,72,905,499,1,2.1,72,905,0,499,0.28200000000000003,28.37,61.85,0.21,1034,0.7000000000000001,308,0.8
2019,1,6,15,30,20.5,1.1,0.0402,0.63,66,850,395,1,2.5,66,850,0,395,0.28200000000000003,30.39,67.22,0.21,1034,0.7000000000000001,258,0.6000000000000001
2019,1,6,16,30,18.8,1.11,0.041600000000000005,0.63,54,727,243,0,4.800000000000001,54,727,0,243,0.28200000000000003,39.58,74.88,0.21,1034,0.8,205,0.7000000000000001
2019,1,6,17,30,16.7,1.1300000000000001,0.0432,0.63,30,450,76,0,5.800000000000001,30,450,0,76,0.28200000000000003,48.44,84.13,0.21,1034,0.8,230,0.7000000000000001
2019,1,6,18,30,15.4,1.1400000000000001,0.0446,0.63,0,0,0,0,5.1000000000000005,0,0,0,0,0.28300000000000003,50.230000000000004,94.75,0.21,1034,0.8,287,0.7000000000000001
2019,1,6,19,30,14.5,1.1400000000000001,0.0451,0.63,0,0,0,0,5.2,0,0,0,0,0.28400000000000003,53.730000000000004,105.98,0.21,1034,0.8,331,1
2019,1,6,20,30,13.600000000000001,1.1500000000000001,0.0448,0.63,0,0,0,0,5.1000000000000005,0,0,0,0,0.28500000000000003,56.300000000000004,117.69,0.21,1034,0.8,350,1.3
2019,1,6,21,30,13,1.16,0.0443,0.63,0,0,0,0,4.800000000000001,0,0,0,0,0.28500000000000003,57.32,129.64000000000001,0.21,1034,0.8,178,1.4000000000000001
2019,1,6,22,30,12.4,1.16,0.0444,0.63,0,0,0,0,4.4,0,0,0,0,0.28500000000000003,57.980000000000004,141.58,0.21,1034,0.8,2,1.5
2019,1,6,23,30,12,1.17,0.0449,0.63,0,0,0,0,3.9000000000000004,0,0,0,0,0.28400000000000003,57.59,153.02,0.21,1034,0.8,3,1.7000000000000002
2019,1,7,0,30,11.8,1.17,0.0456,0.63,0,0,0,0,3.4000000000000004,0,0,0,0,0.28300000000000003,56.51,162.52,0.21,1034,0.8,4,1.7000000000000002
2019,1,7,1,30,11.600000000000001,1.17,0.0461,0.63,0,0,0,0,3,0,0,0,0,0.28,55.44,165.26,0.21,1034,0.8,9,1.8
2019,1,7,2,30,11.700000000000001,1.17,0.046400000000000004,0.63,0,0,0,0,2.6,0,0,0,0,0.279,53.51,158.44,0.21,1034,0.8,12,1.8
2019,1,7,3,30,11.8,1.16,0.0465,0.63,0,0,0,0,2.4000000000000004,0,0,0,0,0.279,52.410000000000004,147.70000000000002,0.21,1034,0.8,13,1.8
2019,1,7,4,30,11.9,1.16,0.0463,0.63,0,0,0,0,2,0,0,0,0,0.279,50.78,135.93,0.21,1034,0.8,14,1.8
2019,1,7,5,30,12.100000000000001,1.16,0.0461,0.63,0,0,0,0,1.6,0,0,0,0,0.278,48.53,123.94,0.21,1034,0.8,20,1.7000000000000002
2019,1,7,6,30,12.200000000000001,1.17,0.0463,0.63,0,0,0,0,1.3,0,0,0,0,0.277,47.26,112.07000000000001,0.21,1034,0.8,28,1.6
2019,1,7,7,30,12.600000000000001,1.19,0.047400000000000005,0.63,0,0,0,0,1.2000000000000002,0,0,0,0,0.276,45.81,100.55,0.21,1034,0.8,36,1.4000000000000001
2019,1,7,8,30,13.5,1.19,0.0492,0.63,0,0,0,1,1.3,0,0,0,0,0.275,43.43,89.19,0.21,1035,0.9,45,1.1
